Transaction Id,Item-1,item-2,Item-3,Item-4,Item-5,Item-6,Item-7,Item-8,Item-9,Item-10,Item-11,Item-12
3049691,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,
4506330,tropical fruit,yogurt,coffee,,,,,,,,,
8941363,whole milk,,,,,,,,,,,
2423533,pip fruit,yogurt,cream cheese ,meat spreads,,,,,,,,
7664174,other vegetables,whole milk,condensed milk,long life bakery product,abrasive cleaner,,,,,,,
5953304,whole milk,butter,yogurt,rice,,,,,,,,
3506952,rolls/buns,,,,liquor (appetizer),,,,,,,
7631686,other vegetables,UHT-milk,rolls/buns,bottled beer,,,,,,,,
9617413,pot plants,,,,,,,,,,,
1588731,whole milk,cereals,,,chocolate,,,,,,,
5370599,tropical fruit,other vegetables,white bread,bottled water,curd,yogurt,flour,bottled water,dishes,,,
7872566,citrus fruit,tropical fruit,whole milk,butter,,,,,,,,
3798416,beef,,,,,,,,,,,
3368564,frankfurter,rolls/buns,soda,,,,,,,,,
8463645,chicken,tropical fruit,,,,,,,,,,
2320877,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,
1205859,fruit/vegetable juice,,,,,,,,,,,
5065183,packaged fruit/vegetables,,,,,,,,,,,
2695980,chocolate,,,,,,,,,,,
6814000,specialty bar,,,,,,,,,,,
1922828,other vegetables,,,,,,,,,,,
6699736,butter milk,pastry,,,,,,,,,,
5783854,whole milk,,,,newspapers,,,,,,,
1559945,tropical fruit,cream cheese ,processed cheese,detergent,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
4832627,tropical fruit,root vegetables,other vegetables,frozen dessert,,,,,,,,
9943625,bottled water,canned beer,,,,,,,,,,
4639387,yogurt,,,,,,,,,,,
8129151,sausage,rolls/buns,soda,chocolate,,,,,,,,
2673086,other vegetables,,,,newspapers,shopping bags,,,,,,
9279224,brown bread,soda,fruit/vegetable juice,canned beer,,,,,,,,
5468108,yogurt,beverages,bottled water,specialty bar,bottled water,hygiene articles,napkins,,,,,
9277349,hamburger meat,other vegetables,rolls/buns,spices,sugar,,,,,,,
4348891,root vegetables,other vegetables,whole milk,beverages,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,
6222021,pork,berries,other vegetables,whole milk,,,,,,,,
1800460,beef,grapes,detergent,,,,,,,,,
